ticket|tipo_ticket|asunto|descripcion|proyecto|prioridad|f_ticket|requirente|equipo_requirente|estado|destino|asignado|version|esfuerzo_estimado|f_realizacion|f_instalacion|modulo|tema|observaciones|sugerencias_pei
1|tarea|Cambiar el tipo de estados.todos_pueden_modificar||GESTIK|Alta||||finalizado|||0.1|20m||||||
2|tarea|Cambiar la abreviatura de estados.tickets||GESTIK|Alta||||finalizado|||0.1|20m||||||
3|tarea|Cambiar la abreviatura de prioridades.tickets||GESTIK|Alta||||finalizado|||0.1|20m||||||
4|tarea|Agregar la tabla tipo de tickets||GESTIK|||||finalizado|||0.1|4h||||||
5|tarea|No usar la propiedad label en los campos de tickets|usar en cambio la propiedad title que es para especificar el título|GESTIK|Alta||||finalizado|||0.1|20m||||||
6|tarea|No usar mayúsculas en los nombres de los campos|Se puede usar mayúsculas en el title|GESTIK|Alta||||finalizado|||0.1|20m||||||
7|tarea|El valor por defecto del estado del ticket es borrador||GESTIK|Alta||||finalizado|||0.1|30m||||||
8|tarea|Agregar la tabla parametros|Pk: unico_registro (boolean, not null, + constraint que valga true) Con los campos: estado_predeterminado tipo_predeterminado|GESTIK|Baja||||finalizado|||0.1|3h||||||
9|tarea|Tomar los valores predeterminados de la tabla parámetros|tanto para estado como para tipo de ticket|GESTIK|Baja||||finalizado|||0.1|2d||||||
10|tarea|Agregar tabla solapas||GESTIK|||||finalizado|||0.1|4h||||||
11|tarea|Agregar tabla equipos||GESTIK|Alta||||finalizado|||0.1|4h||||||
12|tarea|Agergar tabla tipo_ticket||GESTIK|||||finalizado|||0.1|4h||||||
13|tarea|Instalar la primera versión en un servidor|Ponerlo con nombre desa_gestick|GESTIK|Baja||||finalizado|||0.1|2d||||||
14|tarea|Agregar los tickets de gestik|(esta lista)|GESTIK|Baja||||finalizado|||0.1|1h||||||
15|tarea|Agregar una tabla virtual proyectos_estados|O sea un .ts table-proyectos_estados que esté basada en un select cross join de ambas tablas. Con detail tables tickets.|GESTIK|Normal||||finalizado|||0.1|1d||||||
16|tarea|Agregar a la tabla proyectos un detail a la tabla virtual proyectos_estados|con abreviatura "E" y label "estados" (porque proyectos ya tiene)|GESTIK|Normal||||finalizado|||0.1|2h||||||
17|tarea|Agregar a la tabla estados un detail a la tabla virtual proyectos_estados|con abreviatura "P" y label "proyectos" (porque estados ya tiene)|GESTIK|Normal||||finalizado|||0.1|2h||||||
18|tarea|Agregar el campo calculado "cant_tickets" a las tablas estados y proyectos||GESTIK|Normal||||finalizado|||0.1|6h||||||
19|tarea|Agregar el campo calculado "cant_tickets" a las tablas estados_proyectos||GESTIK|Normal||||finalizado|||0.1|2h||||||
20|tarea|Agregar detail Tickets y "cant_tickets" a la tabla solapas|Justamente la idea de las solapas es ver todos los tickets juntos de detalles relacionados|GESTIK|Alta|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|2d||||||
21|tarea|Agregar la fecha actual como valor por defecto a la fecha del ticket||GESTIK|Alta|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|1d||||||
22|tarea|Agregar a proyectos_estados "cant_tickets" y el detail a tickets||GESTIK|Alta|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|2d||||||
23|tarea|Agregar tabla virtual proyectos_solapas|Parecida a proyectos_estados pero basada en solapas, con dos details: proyectos_estados (alias E) y tickets, también con "cant_tickets". Para eso agregar solapa en la tabla proyectos_estados.|GESTIK|Alta|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|2d||||||
24|tarea|Crear la tabla anotaciones|(hijo de tickets) con detalle, usuario y timestamp, y ticket relacionado (para permitir relacionar tickets a otros tickets)|GESTIK|Normal|2023-04-22|emilio|proyesp|en_proceso|proyesp|seba|0.3|2d||||||
25|tarea|Permitir cargar adjuntos en las anotaciones|Agregar un botón en anotaciones, una columna virtual para el botón y una real que guarde el nombre del archivo y su ubicación, el campo del nombre no es editable, es un link que permite descargar el adjunto. Ver cómo se hizo en mini-repo|GESTIK|Normal|2023-04-22|emilio|proyesp|nuevo|proyesp|seba|0.4|2d||||||
26|tarea|Agregar el campo orden en la tabla estados||GESTIK|Baja|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|1h||||||
27|tarea|Agregar una wScreen para tickets|Editable. Donde se vean todas las anotaciones.|GESTIK|Baja|2023-04-22|emilio|proyesp|nuevo|proyesp|seba|0.5|2d||||||
28|tarea|El campo asunto tiene que ser obligatorio|Por el momento nullable:false|GESTIK|Alta|2023-04-22|emilio|proyesp|finalizado|proyesp|seba|0.2|1h||||||
